"symbol","date","open","high","low","close","volume","adjusted"
"GNRC",2021-03-22,310,315.899994,303.179993,313.730011,1273400,313.730011
"GNRC",2021-03-23,312,318.709991,301,303.570007,1137100,303.570007
"GNRC",2021-03-24,306.980011,307.25,295.890015,296.880005,764800,296.880005
"GNRC",2021-03-25,292.880005,302.369995,288.089996,301.029999,749900,301.029999
"GNRC",2021-03-26,306.959991,316.040009,305.459991,316.040009,724700,316.040009
"GNRC",2021-03-29,315.980011,320.779999,302.700012,303.140015,712600,303.140015
"GNRC",2021-03-30,302.869995,318.970001,302.290009,317.75,628600,317.75
"GNRC",2021-03-31,323.049988,329.859985,320.519989,327.450012,1057400,327.450012
"GNRC",2021-04-01,330,335,322.25,323.799988,717600,323.799988
"GNRC",2021-04-05,327,329.25,322.299988,325.040009,480900,325.040009
"GNRC",2021-04-06,326,342.279999,326,333.640015,784000,333.640015
"GNRC",2021-04-07,329.440002,332.019989,323.690002,326.019989,566200,326.019989
"GNRC",2021-04-08,329.660004,332.970001,325.519989,331.910004,458400,331.910004
"GNRC",2021-04-09,332.089996,332.440002,324.26001,330.410004,374900,330.410004
"GNRC",2021-04-12,326.670013,329.399994,319.26001,328.339996,448400,328.339996
"GNRC",2021-04-13,329.01001,331.559998,323.380005,328.470001,363400,328.470001
"GNRC",2021-04-14,330.119995,337.929993,324.829987,325.570007,482200,325.570007
"GNRC",2021-04-15,329.179993,329.399994,323.679993,327.049988,454600,327.049988
"GNRC",2021-04-16,330,333.779999,327.570007,332.230011,587000,332.230011
"GNRC",2021-04-19,329,330.450012,314.109985,318.679993,734100,318.679993
"GNRC",2021-04-20,319.140015,322.109985,308.299988,313.769989,565800,313.769989
"GNRC",2021-04-21,312.869995,323.029999,312.440002,323.019989,419800,323.019989
"GNRC",2021-04-22,326.329987,329.049988,319.540009,321.660004,392800,321.660004
"GNRC",2021-04-23,323.649994,332.160004,322.670013,330.579987,527500,330.579987
"GNRC",2021-04-26,332.450012,335.25,325.579987,330.820007,351800,330.820007
"GNRC",2021-04-27,335.130005,340.980011,330.589996,331.75,393100,331.75
"GNRC",2021-04-28,328.059998,330.190002,315.130005,316.160004,989700,316.160004
"GNRC",2021-04-29,338,338.940002,322.119995,337.179993,1565000,337.179993
"GNRC",2021-04-30,333.980011,336.029999,320,323.950012,877900,323.950012
"GNRC",2021-05-03,325.839996,328.5,321.649994,325.25,545900,325.25
"GNRC",2021-05-04,319.959991,321.179993,305.75,312.98999,828600,312.98999
"GNRC",2021-05-05,318.899994,322.859985,312.549988,319.329987,473800,319.329987
"GNRC",2021-05-06,315.290009,320.01001,310.119995,318.160004,641000,318.160004
"GNRC",2021-05-07,319.519989,328,318.720001,327.380005,438100,327.380005
"GNRC",2021-05-10,323.369995,325.320007,304.019989,305.209991,887700,305.209991
"GNRC",2021-05-11,293.98999,308.690002,290,304.619995,774500,304.619995
"GNRC",2021-05-12,296.559998,304.01001,287.820007,289.179993,1110400,289.179993
"GNRC",2021-05-13,294.170013,301.100006,286.820007,293.359985,802700,293.359985
"GNRC",2021-05-14,295.480011,301.809998,294.070007,300.890015,524400,300.890015
"GNRC",2021-05-17,298.619995,299.859985,290.119995,293.950012,525500,293.950012
"GNRC",2021-05-18,297.660004,302.420013,294.390015,295.859985,771200,295.859985
"GNRC",2021-05-19,290.429993,302.269989,288.149994,301.600006,773100,301.600006
"GNRC",2021-05-20,304.559998,310.839996,303.670013,308.529999,549300,308.529999
"GNRC",2021-05-21,311.119995,313.130005,306.779999,308.679993,545900,308.679993
"GNRC",2021-05-24,311.570007,313.890015,308.600006,310.640015,526900,310.640015
"GNRC",2021-05-25,314.769989,316.679993,309.149994,312.899994,514300,312.899994
"GNRC",2021-05-26,313.350006,321.160004,313.350006,320.209991,694600,320.209991
"GNRC",2021-05-27,322.630005,326.940002,321.209991,326.220001,2156300,326.220001
"GNRC",2021-05-28,327.25,330.890015,325.5,328.720001,553400,328.720001
"GNRC",2021-06-01,331.570007,333.959991,320.769989,321.75,674000,321.75
"GNRC",2021-06-02,321.929993,322.350006,317.549988,320.690002,351500,320.690002
"GNRC",2021-06-03,322.380005,324.109985,314.01001,316.399994,364800,316.399994
"GNRC",2021-06-04,318.75,328.25,318.75,327.399994,449300,327.399994
"GNRC",2021-06-07,326.829987,330.529999,325.369995,329.959991,318100,329.959991
"GNRC",2021-06-08,339.399994,355,339.290009,350.799988,1415700,350.799988
"GNRC",2021-06-09,350.790009,352.279999,343.049988,343.709991,559400,343.709991
"GNRC",2021-06-10,341.929993,347.920013,341.709991,344.619995,446000,344.619995
"GNRC",2021-06-11,346.609985,349.630005,345.119995,349.179993,328700,349.179993
"GNRC",2021-06-14,352.269989,356.359985,351.100006,355.089996,527200,355.089996
"GNRC",2021-06-15,354.980011,362.390015,354.450012,362.26001,780400,362.26001
"GNRC",2021-06-16,363.5,377.01001,362.25,369.700012,1324800,369.700012
"GNRC",2021-06-17,369.01001,381.01001,365.23999,378.940002,967800,378.940002
"GNRC",2021-06-18,375.359985,391.619995,374.609985,386.399994,1420500,386.399994
"GNRC",2021-06-21,387,390.559998,376.420013,389.209991,890000,389.209991
"GNRC",2021-06-22,389.209991,399.579987,388.209991,396.769989,833700,396.769989
"GNRC",2021-06-23,400,407.700012,397.040009,406.119995,869100,406.119995
"GNRC",2021-06-24,409.279999,409.380005,390.160004,392.619995,1109900,392.619995
"GNRC",2021-06-25,397.779999,400.640015,391.01001,396.049988,1564400,396.049988
"GNRC",2021-06-28,399.980011,412.100006,399.980011,409.190002,960500,409.190002
"GNRC",2021-06-29,408,411.73999,405.450012,410.420013,501400,410.420013
"GNRC",2021-06-30,408.839996,417.48999,407.480011,415.149994,540200,415.149994
"GNRC",2021-07-01,414,415.600006,406.570007,413.410004,650100,413.410004
"GNRC",2021-07-02,415.25,419,408.339996,415.200012,924200,415.200012
"GNRC",2021-07-06,416.880005,433.410004,416,429.350006,994300,429.350006
"GNRC",2021-07-07,434,440,425.350006,432.769989,741800,432.769989
"GNRC",2021-07-08,417.089996,428.5,413.880005,426.600006,799400,426.600006
"GNRC",2021-07-09,430,437.079987,425.359985,436.369995,397700,436.369995
"GNRC",2021-07-12,440.920013,452.920013,434.190002,448.149994,843400,448.149994
"GNRC",2021-07-13,448.100006,451.440002,443.109985,445.230011,893300,445.230011
"GNRC",2021-07-14,448.779999,449.910004,434,436.730011,832300,436.730011
"GNRC",2021-07-15,437.730011,442.690002,427.399994,432.859985,805800,432.859985
"GNRC",2021-07-16,433.399994,435.480011,426.839996,430.339996,748700,430.339996
"GNRC",2021-07-19,423.23999,434.320007,415,434.25,702700,434.25
"GNRC",2021-07-20,436.809998,438.48999,431.779999,436.420013,659000,436.420013
"GNRC",2021-07-21,437.700012,448.450012,435.119995,447.339996,596400,447.339996
"GNRC",2021-07-22,448.899994,450.98999,442.779999,444.589996,442200,444.589996
"GNRC",2021-07-23,441.709991,451.019989,441.709991,449.640015,340700,449.640015
"GNRC",2021-07-26,451.339996,457,441.230011,444.649994,476300,444.649994
"GNRC",2021-07-27,441.01001,442.23999,430.910004,438.920013,692700,438.920013
"GNRC",2021-07-28,406.119995,438,383.100006,431.040009,2889900,431.040009
"GNRC",2021-07-29,432.459991,436.980011,410,419.299988,1514500,419.299988
"GNRC",2021-07-30,417.619995,427.269989,415.179993,419.359985,803800,419.359985
"GNRC",2021-08-02,421.320007,421.320007,396.200012,400,1273400,400
"GNRC",2021-08-03,403.119995,410.779999,396.200012,402.089996,939900,402.089996
"GNRC",2021-08-04,403,407.329987,397.589996,400.23999,742100,400.23999
"GNRC",2021-08-05,401,406.070007,399.049988,403.720001,745200,403.720001
"GNRC",2021-08-06,409.029999,423.790009,407.190002,415.040009,760500,415.040009
"GNRC",2021-08-09,414,419.850006,411.480011,417.859985,473400,417.859985
"GNRC",2021-08-10,420,426.649994,415.089996,419.089996,495400,419.089996
"GNRC",2021-08-11,419.359985,420.660004,411.029999,417.220001,601500,417.220001
"GNRC",2021-08-12,415.109985,423.799988,413.670013,423.320007,672800,423.320007
"GNRC",2021-08-13,423.549988,424.579987,411.839996,414.100006,530200,414.100006
"GNRC",2021-08-16,414.299988,414.299988,408.01001,410.190002,566800,410.190002
"GNRC",2021-08-17,407.459991,407.459991,385.570007,389.98999,955300,389.98999
"GNRC",2021-08-18,389.109985,397.589996,386.98999,390.049988,528600,390.049988
"GNRC",2021-08-19,385.230011,397.5,385,391.850006,429300,391.850006
"GNRC",2021-08-20,391.950012,404.98999,391.950012,400.320007,594900,400.320007
"GNRC",2021-08-23,402.929993,417.720001,401.25,415.029999,628300,415.029999
"GNRC",2021-08-24,414.959991,422.109985,414.959991,418.899994,481000,418.899994
"GNRC",2021-08-25,420,429.200012,418.700012,425.869995,497000,425.869995
"GNRC",2021-08-26,424.579987,429.339996,422.880005,427.470001,382700,427.470001
