"symbol","date","open","high","low","close","volume","adjusted"
"CDAY",2021-09-20,107.43,107.800003,104.889999,106.150002,1452600,106.150002
"CDAY",2021-09-21,106.919998,108.099998,105.730003,105.900002,1518900,105.900002
"CDAY",2021-09-22,106.040001,108.970001,106.040001,108.589996,1348300,108.589996
"CDAY",2021-09-23,109.459999,113.065002,109.25,112.940002,1215700,112.940002
"CDAY",2021-09-24,112.07,114.970001,111.940002,114.919998,1344800,114.919998
"CDAY",2021-09-27,114.050003,116.120003,111.959999,115.910004,1144900,115.910004
"CDAY",2021-09-28,114.699997,114.989998,112.555,113,1443500,113
"CDAY",2021-09-29,114,114.879997,112.080002,112.980003,1023700,112.980003
"CDAY",2021-09-30,113.269997,114.220001,112.349998,112.620003,784300,112.620003
"CDAY",2021-10-01,112.959999,115.139999,111.480003,114.57,774600,114.57
"CDAY",2021-10-04,113.610001,114.089996,110.190002,112.010002,1113400,112.010002
"CDAY",2021-10-05,112.43,114.18,111.830002,113.309998,662900,113.309998
"CDAY",2021-10-06,112.309998,116.220001,112.129997,116.110001,812100,116.110001
"CDAY",2021-10-07,117.32,120.040001,117,118.529999,926600,118.529999
"CDAY",2021-10-08,118.900002,120.25,117.639999,118.900002,693700,118.900002
"CDAY",2021-10-11,118.599998,118.93,116.919998,116.980003,674200,116.980003
"CDAY",2021-10-12,117.559998,120.879997,117,119.93,889900,119.93
"CDAY",2021-10-13,120.75,123.550003,120.510002,122.839996,1477900,122.839996
"CDAY",2021-10-14,124.110001,125.550003,122.260002,122.660004,961000,122.660004
"CDAY",2021-10-15,123.260002,123.260002,122.059998,122.419998,782700,122.419998
"CDAY",2021-10-18,122.830002,123.489998,121.849998,123.43,693100,123.43
"CDAY",2021-10-19,124,125.870003,123.650002,124.709999,698000,124.709999
"CDAY",2021-10-20,125.290001,126.599998,123.849998,124.110001,436000,124.110001
"CDAY",2021-10-21,123.889999,128.259995,122.699997,127.889999,789300,127.889999
"CDAY",2021-10-22,128,129.240005,127.239998,128.070007,513700,128.070007
"CDAY",2021-10-25,128.410004,130.320007,127.769997,128.990005,664900,128.990005
"CDAY",2021-10-26,129.789993,130.350006,126.370003,127.410004,655700,127.410004
"CDAY",2021-10-27,127.410004,128.380005,124.889999,125,1082400,125
"CDAY",2021-10-28,125.5,127.330002,124.764999,125.660004,628800,125.660004
"CDAY",2021-10-29,124.760002,126.309998,124.489998,125.25,806900,125.25
"CDAY",2021-11-01,125.050003,127.080002,124.510002,127.019997,1006000,127.019997
"CDAY",2021-11-02,128.080002,130.350006,127.739998,130.320007,1180400,130.320007
"CDAY",2021-11-03,130.039993,130.369995,126.135002,128.210007,1636400,128.210007
"CDAY",2021-11-04,123.690002,124.169998,119.010002,121.650002,2806700,121.650002
"CDAY",2021-11-05,122.779999,124.550003,121.385002,123.470001,1302900,123.470001
"CDAY",2021-11-08,124.290001,125.57,123.82,123.980003,800600,123.980003
"CDAY",2021-11-09,124.089996,124.989998,120.773003,121.470001,739900,121.470001
"CDAY",2021-11-10,120.769997,121.410004,118.425003,119.019997,884700,119.019997
"CDAY",2021-11-11,119.870003,120.879997,119.544998,119.949997,1019400,119.949997
"CDAY",2021-11-12,120,120.68,118.370003,119.400002,685600,119.400002
"CDAY",2021-11-15,119.599998,120.400002,118.559998,120.349998,653600,120.349998
"CDAY",2021-11-16,120,121.220001,119.5,120.690002,676800,120.690002
"CDAY",2021-11-17,120.699997,120.834999,117.370003,117.980003,592800,117.980003
"CDAY",2021-11-18,118,118.110001,115.400002,115.879997,856100,115.879997
"CDAY",2021-11-19,116.110001,117.160004,114.830002,114.879997,895600,114.879997
"CDAY",2021-11-22,115.059998,115.349998,110.489998,111.510002,885300,111.510002
"CDAY",2021-11-23,110.519997,111.699997,108.459999,110.330002,911000,110.330002
"CDAY",2021-11-24,108.870003,112.760002,108.199997,112.629997,620400,112.629997
"CDAY",2021-11-26,111.559998,113.25,110.029999,111.349998,683700,111.349998
"CDAY",2021-11-29,113.120003,113.754997,111.324997,112.970001,680900,112.970001
"CDAY",2021-11-30,112.330002,113.260002,107.599998,109.400002,1117700,109.400002
"CDAY",2021-12-01,110.419998,110.855003,104.849998,104.879997,1143200,104.879997
"CDAY",2021-12-02,104.75,108.389999,104.699997,108.160004,1116900,108.160004
"CDAY",2021-12-03,108.309998,108.879997,103.089996,105.07,1651700,105.07
"CDAY",2021-12-06,105.089996,105.739998,102.080002,103.779999,1706000,103.779999
"CDAY",2021-12-07,105.889999,108.879997,105.875,106.860001,1578300,106.860001
"CDAY",2021-12-08,107.080002,109.129997,104.57,108.57,2241000,108.57
"CDAY",2021-12-09,108.489998,109.18,103.410004,104.150002,1124100,104.150002
"CDAY",2021-12-10,104.620003,106.325996,102.010002,103.860001,812400,103.860001
"CDAY",2021-12-13,103.279999,105.110001,102.580002,103.07,785500,103.07
"CDAY",2021-12-14,101.419998,103.169998,100.720001,102.559998,942100,102.559998
"CDAY",2021-12-15,102.07,104.07,100.695,103.510002,1229200,103.510002
"CDAY",2021-12-16,103.599998,104.120003,99.080002,100.269997,1034500,100.269997
"CDAY",2021-12-17,99.25,102.730003,96.919998,101.849998,1742800,101.849998
"CDAY",2021-12-20,100.120003,100.629997,98.059998,98.169998,1210600,98.169998
"CDAY",2021-12-21,98.620003,102.360001,98.620003,102,949200,102
"CDAY",2021-12-22,102,103.199997,100.894997,102.480003,1018000,102.480003
"CDAY",2021-12-23,102.5,104.269997,101.849998,103.889999,490500,103.889999
"CDAY",2021-12-27,103.889999,106.379997,103.699997,106.269997,785300,106.269997
"CDAY",2021-12-28,106.669998,106.669998,104.760002,105.260002,455000,105.260002
"CDAY",2021-12-29,105.400002,106.084999,104.010002,105.169998,634200,105.169998
"CDAY",2021-12-30,105.550003,106.760002,104.669998,104.68,487000,104.68
"CDAY",2021-12-31,105.050003,105.760002,103.900002,104.459999,361500,104.459999
"CDAY",2022-01-03,104.629997,105.5,103,104.940002,1041600,104.940002
"CDAY",2022-01-04,104.529999,105.160004,99.110001,100.57,921400,100.57
"CDAY",2022-01-05,99.889999,99.889999,92.910004,92.949997,1273600,92.949997
